"Source:"	"/home/ali/Projects/robot-platform/schematics/MotorDriver2/MotorDriver.sch"
"Date:"	"Thu 28 Oct 2021 21:13:58 +0545"
"Tool:"	"Eeschema 5.1.10"
"Component Count:"	"37"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"10uF"	"Device:CP"	"Capacitor_SMD:CP_Elec_4x5.4"	"Polarized capacitor"	""
"C2"	"15pF"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric"	"Unpolarized capacitor"	""
"C3"	"0.1uF"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric"	"Unpolarized capacitor"	""
"C4"	"15pF"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric"	"Unpolarized capacitor"	""
"C5"	"10uF"	"Device:CP"	"Capacitor_SMD:CP_Elec_4x5.4"	"Polarized capacitor"	""
"C6"	"0.1uF"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric"	"Unpolarized capacitor"	""
"C7"	"0.1uF"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric"	"Unpolarized capacitor"	""
"C8"	"0.1uf"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric"	"Unpolarized capacitor"	""
"C9"	"10uf"	"Device:CP"	"Capacitor_SMD:CP_Elec_4x5.4"	"Polarized capacitor"	""
"C10"	"10uf"	"Device:CP"	"Capacitor_SMD:CP_Elec_4x5.4"	"Polarized capacitor"	""
"C11"	"0.1uf"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric"	"Unpolarized capacitor"	""
"D1"	"RED"	"Device:LED"	"Diode_SMD:D_1206_3216Metric"	"Light emitting diode"	""
"D2"	"GREEN"	"Device:LED"	"Diode_SMD:D_1206_3216Metric"	"Light emitting diode"	""
"H1"	"MountingHole"	"Mechanical:MountingHole"	"MountingHole:MountingHole_2.5mm"	"Mounting Hole without connection"	""
"H2"	"MountingHole"	"Mechanical:MountingHole"	"MountingHole:MountingHole_2.5mm"	"Mounting Hole without connection"	""
"H3"	"MountingHole"	"Mechanical:MountingHole"	"MountingHole:MountingHole_2.5mm"	"Mounting Hole without connection"	""
