Designator,Mid X,Mid Y,Layer,Rotation
C1,69.700000mm,-100.950000mm,top,180.000000
C3,73.400000mm,-53.500000mm,top,0.000000
C5,62.200000mm,-80.750000mm,top,270.000000
C6,88.400000mm,-61.900000mm,top,0.000000
C7,96.900000mm,-84.700000mm,top,270.000000
C8,82.550000mm,-88.250000mm,top,90.000000
C9,87.700000mm,-95.000000mm,top,0.000000
C10,96.300000mm,-94.500000mm,top,270.000000
C11,85.100000mm,-83.200000mm,top,90.000000
D1,77.250000mm,-91.300000mm,top,90.000000
D2,106.235000mm,-86.950000mm,top,180.000000
D3,53.065000mm,-82.200000mm,top,0.000000
D4,87.800000mm,-77.500000mm,top,180.000000
L1,72.550000mm,-78.900000mm,top,90.000000
Q1,62.900000mm,-99.250000mm,top,180.000000
Q2,79.000000mm,-50.250000mm,top,0.000000
Q3,69.100000mm,-50.300000mm,top,0.000000
R3,77.900000mm,-54.650000mm,top,0.000000
R4,104.100000mm,-86.950000mm,top,0.000000
R5,55.800000mm,-82.200000mm,top,180.000000
R6,89.300000mm,-78.700000mm,top,180.000000
R7,82.000000mm,-49.800000mm,top,270.000000
R8,72.000000mm,-49.700000mm,top,270.000000
R9,76.500000mm,-50.800000mm,top,270.000000
R10,66.700000mm,-50.900000mm,top,270.000000
SW1,111.200000mm,-89.000000mm,top,180.000000
U1,79.550000mm,-62.450000mm,top,0.000000
U2,65.400000mm,-91.500000mm,top,180.000000
U3,91.000000mm,-87.200000mm,top,90.000000
Y1,71.400000mm,-64.650000mm,top,270.000000
