Designator,Mid X,Mid Y,Layer,Rotation
C1,69.700000mm,-100.950000mm,top,180.000000
C2,84.364000mm,-53.468000mm,top,180.000000
C3,84.364000mm,-50.166000mm,top,180.000000
C4,66.838000mm,-66.930000mm,top,90.000000
C5,62.200000mm,-80.750000mm,top,270.000000
C6,80.808000mm,-54.230000mm,top,0.000000
C7,93.500000mm,-94.500000mm,top,270.000000
C8,101.200000mm,-94.500000mm,top,90.000000
D1,77.250000mm,-91.300000mm,top,90.000000
D2,102.685000mm,-62.700000mm,top,0.000000
D3,53.065000mm,-82.200000mm,top,0.000000
D4,106.725000mm,-90.600000mm,top,0.000000
L1,72.550000mm,-78.900000mm,top,90.000000
Q1,62.900000mm,-99.250000mm,top,180.000000
Q2,73.828000mm,-51.186000mm,top,270.000000
Q3,67.682000mm,-51.186000mm,top,270.000000
R1,64.552000mm,-67.438000mm,top,90.000000
R3,55.800000mm,-82.200000mm,top,180.000000
R4,106.725000mm,-89.422000mm,top,0.000000
R5,70.902000mm,-51.182000mm,top,270.000000
R6,64.806000mm,-51.182000mm,top,270.000000
R7,73.828000mm,-54.086000mm,top,180.000000
R8,66.000000mm,-54.000000mm,top,0.000000
SW1,111.000000mm,-62.800000mm,top,0.000000
U2,65.400000mm,-91.500000mm,top,180.000000
