"Comment","Designator","Footprint","JLCPCB Part #"
"100uF","C1","Capacitor_SMD:CP_Elec_6.3x7.7","C127971"
"22pF","C2","Capacitor_SMD:C_1206_3216Metric","C12891"
"22pF","C3","Capacitor_SMD:C_1206_3216Metric","C12891"
"100nF","C4","Capacitor_SMD:C_0402_1005Metric","C307331"
"220uf","C5","Capacitor_SMD:CP_Elec_6.3x7.7","C371974"
"100nF","C6","Capacitor_SMD:C_0402_1005Metric","C307331"
"100nF","C7","Capacitor_SMD:C_1206_3216Metric","C24497"
"100nF","C8","Capacitor_SMD:C_1206_3216Metric","C24497"
"SS34","D1","RobotHat:SS34","C8678"
"GREEN","D2","Diode_SMD:D_0402_1005Metric","C130719"
"RED","D3","Diode_SMD:D_0402_1005Metric","C130719"
"GREEN","D4","Diode_SMD:D_0402_1005Metric","C130719"
"33uH","L1","RobotHat:YPRH1207-330M","C339951"
"AO3401A","Q1","Package_TO_SOT_SMD:SOT-23","C15127"
"2N7002","Q2","Package_TO_SOT_SMD:SOT-23","C8545"
"2N7002","Q3","Package_TO_SOT_SMD:SOT-23","C8545"
"10k","R1","Resistor_SMD:R_0805_2012Metric","C17724"
"330","R3","Resistor_SMD:R_0402_1005Metric","C25741"
"330","R4","Resistor_SMD:R_0402_1005Metric","C25741"
"10k","R5","Resistor_SMD:R_0805_2012Metric","C17724"
"10k","R6","Resistor_SMD:R_0805_2012Metric","C17724"
"10k","R7","Resistor_SMD:R_0805_2012Metric","C17724"
"10k","R8","Resistor_SMD:R_0805_2012Metric","C17724"
"Reset","SW1","MyFootprints:TS-1187A-B-A-B_PushButton","C318884"
"LM2596S-5","U2","Package_TO_SOT_SMD:TO-263-5_TabPin3","C194349"
